millis|gX|gY|gZ|aX|aY|aZ|UVIndex
17|0.00|0.00|0.00|1.11|0.10|0.04|2.49
5031|3.82|4.29|3.18|1.09|0.10|0.02|2.44
10046|11.31|2.65|-0.41|1.11|0.05|0.02|2.44
15059|3.81|3.81|2.60|1.11|0.10|0.04|2.44
20074|3.98|3.87|1.61|1.10|0.12|0.05|2.44
25089|3.86|5.19|3.31|1.13|0.10|0.05|2.39
30103|3.89|4.08|1.90|1.11|0.09|0.03|2.10
35118|4.11|7.08|4.16|1.07|0.10|0.01|2.15
40131|3.47|4.24|4.06|1.08|0.05|-0.01|2.00
45146|3.84|2.85|2.13|1.15|0.08|0.06|1.96
50160|4.32|3.50|-1.70|1.12|0.10|0.04|1.96
55175|3.65|2.95|-3.70|1.10|0.10|0.05|2.05
60190|3.80|3.84|2.02|1.11|0.09|0.04|2.30
65205|4.11|3.02|0.61|1.12|0.08|0.04|2.39
70218|4.39|4.57|3.53|1.07|0.13|0.03|2.39
75233|3.82|4.01|1.98|1.12|0.09|0.05|2.44
80247|3.86|4.15|1.54|1.11|0.09|0.04|2.49
85262|3.99|4.47|1.49|1.12|0.10|0.05|2.35
90275|3.87|3.60|1.37|1.12|0.10|0.06|2.59
95290|4.26|3.00|-0.19|1.09|0.09|0.05|2.59
100304|4.63|3.85|-1.37|1.16|0.08|0.07|2.54
105319|3.94|4.95|2.14|1.08|0.12|0.03|2.64
110333|4.04|6.55|4.18|1.03|0.12|0.04|2.15
115348|16.67|4.79|2.87|1.12|0.05|0.01|2.39
120364|3.83|3.47|0.90|1.09|0.10|0.04|2.54
125377|3.67|4.13|-0.33|1.13|0.11|0.07|2.54
130392|3.88|3.10|0.07|1.11|0.08|0.05|2.54
135406|3.72|3.79|2.07|1.11|0.10|0.05|2.54
140421|4.04|3.63|1.11|1.11|0.10|0.05|2.44
145435|4.06|4.36|1.81|1.13|0.10|0.04|2.49
150450|4.04|1.97|1.25|1.07|0.13|0.05|2.44
155463|3.89|3.66|1.82|1.16|0.10|0.07|2.44
160478|10.70|3.41|-1.38|1.00|0.13|-0.02|2.49
165492|4.03|3.60|0.44|1.10|0.10|0.04|2.35
170507|4.10|3.96|0.91|1.11|0.10|0.04|2.25
175522|3.69|4.85|2.40|1.13|0.10|0.04|2.20
180537|4.01|3.37|1.77|1.07|0.06|0.07|1.91
185551|4.05|3.82|2.15|1.11|0.10|0.04|1.81
190566|1.18|2.97|-3.70|1.09|0.11|0.06|2.15
195579|4.02|3.82|0.87|1.10|0.11|0.04|2.49
200594|3.76|4.07|1.50|1.11|0.10|0.05|2.49
205608|3.77|3.88|1.71|1.11|0.10|0.04|2.54
210623|3.27|1.05|10.08|1.12|0.11|0.09|2.49
215638|3.92|5.20|1.44|1.11|0.10|0.04|2.49
220652|4.19|3.95|1.99|1.11|0.10|0.05|2.49
225666|3.81|3.21|-0.12|1.11|0.10|0.04|2.20
230680|3.95|3.83|1.27|1.11|0.10|0.04|2.20
235696|4.09|4.39|0.37|1.10|0.12|0.04|2.00
240710|3.97|3.89|1.12|1.12|0.10|0.04|2.15
245725|4.61|-6.48|-4.05|1.11|0.06|0.03|0.98
250739|3.93|3.72|1.06|1.11|0.09|0.04|0.83
255754|3.79|4.44|5.32|1.11|0.09|0.03|1.17
260767|4.11|3.56|0.01|1.11|0.10|0.05|1.66
265782|3.95|3.79|1.49|1.12|0.09|0.04|0.88
270796|3.76|1.59|0.66|1.11|0.09|0.05|0.59
275811|4.37|3.50|0.69|1.11|0.11|0.02|0.88
280825|3.84|2.19|1.82|1.18|0.05|0.06|1.27
285840|3.85|4.20|2.34|1.12|0.10|0.05|1.17
290853|3.74|3.40|1.27|1.12|0.10|0.05|1.96
295874|3.88|3.88|1.83|1.12|0.08|0.04|1.66
300890|-13.81|3.86|1.48|1.10|0.08|0.04|1.71
305904|3.98|3.91|2.02|1.11|0.09|0.04|1.91
310920|-11.65|2.05|1.25|1.05|0.09|0.02|1.81
315935|4.49|3.45|-3.08|1.13|0.08|0.07|1.91
320951|3.95|4.74|1.21|1.11|0.10|0.03|1.56
325965|0.79|2.52|-3.98|0.99|0.09|-0.01|1.12
330981|4.37|4.08|0.40|1.12|0.10|0.05|2.15
335996|3.88|4.07|3.91|1.16|0.09|0.07|2.15
341011|4.39|2.81|-0.21|1.10|0.09|0.05|2.10
346027|3.87|3.42|0.77|1.11|0.09|0.04|2.35
351042|3.84|3.83|1.61|1.11|0.10|0.05|2.35
356059|3.96|4.63|2.55|1.08|0.10|0.03|2.35
361073|4.07|14.18|5.21|1.14|0.06|0.02|2.15
366089|4.14|3.92|1.69|1.11|0.10|0.04|1.71
371104|3.78|3.73|2.50|1.12|0.09|0.05|1.08
376120|17.95|-6.15|-0.09|1.18|0.02|-0.09|1.32
381134|3.89|2.95|-0.13|1.13|0.08|0.05|1.12
386150|3.69|3.65|0.74|1.12|0.09|0.05|0.68
391165|3.81|3.52|1.66|1.12|0.08|0.04|0.54
396181|3.92|3.16|1.44|1.11|0.09|0.04|0.15
401196|4.02|7.11|2.53|1.09|0.10|0.02|0.10
406211|4.38|3.92|1.44|1.11|0.08|0.04|0.10
411227|3.93|3.36|1.16|1.12|0.09|0.03|0.10
416243|3.95|3.92|0.90|1.10|0.08|0.02|0.10
421258|4.03|3.83|1.75|1.11|0.09|0.03|0.10
426273|4.01|3.40|1.24|1.12|0.09|0.04|0.05
431289|3.89|3.63|1.40|1.11|0.08|0.03|0.10
436304|5.89|24.26|3.93|1.27|0.04|0.14|2.49
441319|3.73|3.72|1.55|1.11|0.09|0.04|2.15
446334|3.98|3.87|1.34|1.11|0.10|0.04|2.39
451350|3.85|4.75|3.92|1.11|0.10|0.04|2.44
456365|3.95|3.98|1.71|1.11|0.10|0.04|2.44
461380|3.69|4.16|3.00|1.12|0.10|0.05|2.44
466396|3.97|3.92|1.50|1.11|0.10|0.04|2.54
471411|4.15|3.85|1.21|1.11|0.11|0.06|2.54
476428|3.89|4.01|1.85|1.11|0.10|0.05|2.54
481442|-4.09|4.35|1.40|1.10|0.09|0.05|2.49
486458|3.90|4.40|1.81|1.12|0.09|0.06|2.44
491473|3.77|3.82|1.66|1.11|0.10|0.06|2.59
496489|4.20|1.25|1.89|1.10|0.09|0.02|2.54
501504|6.19|-7.34|2.19|1.15|0.08|0.03|2.54
506519|1.33|4.52|12.78|1.12|0.08|0.02|2.49
511535|3.85|5.73|5.40|1.06|0.13|0.04|2.54
516549|4.16|2.96|1.23|1.09|0.11|0.06|2.64
521565|3.56|1.84|-0.69|1.11|0.08|0.08|2.54
526580|11.07|3.72|2.64|1.15|-0.10|-0.06|2.54
531597|3.69|3.53|1.10|1.10|0.09|0.07|2.54
536612|-0.26|2.06|-0.84|1.13|0.09|0.05|2.54
541628|4.24|5.21|3.50|1.12|0.10|0.08|2.54
546642|3.91|1.79|-5.13|1.14|0.08|0.04|2.59
551658|3.49|5.46|1.39|1.11|0.10|0.08|2.69
556674|2.54|3.02|0.70|1.13|0.11|0.07|2.64
561688|3.94|3.89|1.75|1.10|0.10|0.05|2.79
566704|4.08|3.79|1.44|1.09|0.10|0.05|2.88
571719|5.77|6.81|3.55|1.11|0.09|0.05|2.83
576735|4.42|4.18|0.63|1.11|0.08|0.05|2.93
581749|3.38|3.98|1.73|1.10|0.09|0.07|2.74
586765|2.37|7.90|-1.24|1.07|0.35|0.01|2.88
