millis|latitude|longitude|satellites|hdop|kmh|altitude
1125|48.413516|9.071516|5|2.8|0.30|481.90
7238|48.413524|9.071528|5|2.8|0.93|480.40
13263|48.413524|9.071526|5|2.8|0.61|479.10
19273|48.413520|9.071555|5|2.8|0.41|479.40
25283|48.413513|9.071558|5|2.8|0.44|477.80
31292|48.413513|9.071557|5|2.8|0.15|478.10
37301|48.413513|9.071563|5|2.8|0.06|478.40
43310|48.413509|9.071566|5|2.8|0.26|478.60
49319|48.413513|9.071555|5|2.8|0.11|477.50
55329|48.413513|9.071583|5|2.8|1.98|477.70
61339|48.413516|9.071583|5|2.8|0.13|478.30
67349|48.413520|9.071607|4|2.9|1.72|478.40
73358|48.413524|9.071643|4|2.9|3.28|478.60
79367|48.413532|9.071621|5|2.8|0.31|478.20
85377|48.413532|9.071604|5|2.8|0.09|480.00
91386|48.413528|9.071596|5|2.8|0.09|480.10
97396|48.413513|9.071613|5|2.8|0.11|480.80
103406|48.413509|9.071634|5|2.8|1.19|480.70
109416|48.413509|9.071619|5|2.9|0.11|480.60
115425|48.413509|9.071618|5|2.9|0.33|480.40
121440|48.413513|9.071613|5|2.9|0.09|481.40
127554|48.413501|9.071626|5|2.9|0.85|481.40
133668|48.413501|9.071611|6|1.1|0.35|480.10
139782|48.413509|9.071596|6|1.1|0.44|480.40
145864|48.413520|9.071587|6|1.1|0.15|482.10
151876|48.413520|9.071598|6|1.1|0.22|484.00
157886|48.413520|9.071609|6|1.1|0.26|484.90
163895|48.413513|9.071629|6|1.1|0.35|485.70
169904|48.413513|9.071637|6|1.1|0.43|486.10
175913|48.413528|9.071635|6|1.1|0.78|487.40
181923|48.413524|9.071630|6|1.1|0.31|484.70
187933|48.413520|9.071634|6|1.1|0.41|484.70
193943|48.413520|9.071618|6|1.1|0.59|484.20
199952|48.413516|9.071596|6|1.1|0.46|482.20
205961|48.413516|9.071583|6|1.1|0.20|481.10
211970|48.413516|9.071578|6|1.1|0.37|481.30
217981|48.413509|9.071591|6|1.1|1.56|480.30
223991|48.413509|9.071599|6|1.1|0.22|479.90
230001|48.413528|9.071584|6|1.1|0.15|483.60
236011|48.413536|9.071580|6|1.1|1.56|485.20
242020|48.413539|9.071590|6|1.1|1.09|485.00
248029|48.413532|9.071585|6|1.1|0.19|484.10
254045|48.413532|9.071576|7|1.0|0.19|482.50
260162|48.413528|9.071572|7|1.0|0.30|482.50
266276|48.413532|9.071573|7|1.0|0.83|481.90
272390|48.413532|9.071574|7|1.0|0.83|481.60
278455|48.413539|9.071570|8|1.0|0.17|482.20
284464|48.413547|9.071567|8|1.0|0.41|483.40
290475|48.413543|9.071567|8|1.0|0.15|483.40
296484|48.413536|9.071566|8|1.0|0.19|482.60
302494|48.413539|9.071566|8|1.0|0.67|483.20
308504|48.413547|9.071566|8|1.0|0.98|483.40
314513|48.413547|9.071563|8|1.0|0.09|483.60
320522|48.413539|9.071563|8|1.0|0.06|481.30
326531|48.413536|9.071565|8|1.0|0.09|481.30
332540|48.413536|9.071566|8|1.0|0.17|480.90
338550|48.413536|9.071575|8|1.0|1.02|481.50
344560|48.413547|9.071579|8|1.0|1.37|483.70
350570|48.413543|9.071581|8|1.0|0.28|484.50
