millis|humidity|temperatureDHT|temperatureBMP|pressure|altitude|temperatureRod
898|37.10|23.70|22.60|96570.00|403.56|27.81
6705|37.70|23.70|22.60|96573.00|403.30|27.75
12511|38.00|23.70|22.60|96579.00|402.78|27.75
18318|37.90|23.70|22.60|96579.00|402.78|27.75
24125|37.70|23.70|22.60|96567.00|403.82|27.75
29933|37.60|23.70|22.60|96573.00|403.30|27.75
35740|37.50|23.70|22.60|96573.00|403.30|27.75
41547|37.50|23.70|22.70|96573.00|403.30|27.75
47354|37.60|23.70|22.70|96578.00|402.87|27.69
53160|37.60|23.80|22.70|96567.00|403.82|27.69
58969|37.40|23.80|22.70|96575.00|403.13|27.69
64777|37.30|23.80|22.70|96572.00|403.38|27.69
70585|37.30|23.80|22.80|96572.00|403.38|27.75
76392|37.30|23.80|22.80|96575.00|403.13|27.69
82199|37.10|23.80|22.80|96575.00|403.13|27.62
88005|36.90|23.80|22.80|96569.00|403.64|27.62
93812|36.70|23.80|22.80|96580.00|402.69|27.69
99620|36.50|23.80|22.90|96577.00|402.95|27.69
105427|36.30|23.80|22.90|96580.00|402.69|27.69
111235|36.10|23.90|22.90|96571.00|403.47|27.69
117042|35.90|23.80|22.90|96571.00|403.47|27.75
122848|35.80|23.80|22.90|96574.00|403.21|27.75
128656|35.60|23.90|22.90|96571.00|403.47|27.75
134463|35.50|23.90|23.00|96576.00|403.04|27.69
140271|35.40|23.90|23.00|96576.00|403.04|27.62
146078|35.20|23.90|23.00|96582.00|402.52|27.62
151885|35.10|23.90|23.00|96576.00|403.04|27.56
157692|35.00|23.90|23.00|96579.00|402.78|27.56
163500|35.00|23.90|23.10|96570.00|403.56|27.56
169306|34.90|23.90|23.10|96572.00|403.38|27.56
175113|34.80|23.90|23.10|96567.00|403.82|27.56
180921|34.70|24.00|23.10|96567.00|403.82|27.56
186730|34.70|24.00|23.10|96566.00|403.90|27.62
192537|34.60|24.00|23.10|96575.00|403.13|27.62
198343|34.50|24.00|23.20|96572.00|403.38|27.62
204151|34.40|24.00|23.20|96580.00|402.69|27.62
209958|34.30|24.00|23.20|96575.00|403.13|27.62
215764|34.30|24.00|23.20|96563.00|404.16|27.56
221572|34.20|24.00|23.20|96577.00|402.95|27.56
227380|34.10|24.00|23.20|96574.00|403.21|27.56
233187|34.10|24.10|23.30|96577.00|402.95|27.56
238993|34.10|24.10|23.30|96568.00|403.73|27.50
