Sekunden;"
latitude";longitude;Sateliten;HDOP;km/h;altitude
0;48.413.516;9.071.516;5;2,8;0,3;481,9
5;48.413.524;9.071.528;5;2,8;0,93;480,4
15;48.413.524;9.071.526;5;2,8;0,61;479,1
20;48.413.520;9.071.555;5;2,8;0,41;479,4
25;48.413.513;9.071.558;5;2,8;0,44;477,8
30;48.413.513;9.071.557;5;2,8;0,15;478,1
35;48.413.513;9.071.563;5;2,8;0,06;478,4
45;48.413.509;9.071.566;5;2,8;0,26;478,6
50;48.413.513;9.071.555;5;2,8;0,11;477,5
55;48.413.513;9.071.583;5;2,8;1,98;477,7
60;48.413.516;9.071.583;5;2,8;0,13;478,3
65;48.413.520;9.071.607;4;2,9;1,72;478,4
75;48.413.524;9.071.643;4;2,9;3,28;478,6
80;48.413.532;9.071.621;5;2,8;0,31;478,2
85;48.413.532;9.071.604;5;2,8;0,09;480
90;48.413.528;9.071.596;5;2,8;0,09;480,1
95;48.413.513;9.071.613;5;2,8;0,11;480,8
105;48.413.509;9.071.634;5;2,8;1,19;480,7
110;48.413.509;9.071.619;5;2,9;0,11;480,6
115;48.413.509;9.071.618;5;2,9;0,33;480,4
120;48.413.513;9.071.613;5;2,9;0,09;481,4
130;48.413.501;9.071.626;5;2,9;0,85;481,4
135;48.413.501;9.071.611;6;1,1;0,35;480,1
140;48.413.509;9.071.596;6;1,1;0,44;480,4
145;48.413.520;9.071.587;6;1,1;0,15;482,1
150;48.413.520;9.071.598;6;1,1;0,22;484
160;48.413.520;9.071.609;6;1,1;0,26;484,9
165;48.413.513;9.071.629;6;1,1;0,35;485,7
170;48.413.513;9.071.637;6;1,1;0,43;486,1
175;48.413.528;9.071.635;6;1,1;0,78;487,4
180;48.413.524;9.071.630;6;1,1;0,31;484,7
190;48.413.520;9.071.634;6;1,1;0,41;484,7
195;48.413.520;9.071.618;6;1,1;0,59;484,2
200;48.413.516;9.071.596;6;1,1;0,46;482,2
205;48.413.516;9.071.583;6;1,1;0,2;481,1
210;48.413.516;9.071.578;6;1,1;0,37;481,3
220;48.413.509;9.071.591;6;1,1;1,56;480,3
225;48.413.509;9.071.599;6;1,1;0,22;479,9
230;48.413.528;9.071.584;6;1,1;0,15;483,6
235;48.413.536;9.071.580;6;1,1;1,56;485,2
240;48.413.539;9.071.590;6;1,1;1,09;485
250;48.413.532;9.071.585;6;1,1;0,19;484,1
255;48.413.532;9.071.576;7;1;0,19;482,5
260;48.413.528;9.071.572;7;1;0,3;482,5
265;48.413.532;9.071.573;7;1;0,83;481,9
270;48.413.532;9.071.574;7;1;0,83;481,6
280;48.413.539;9.071.570;8;1;0,17;482,2
285;48.413.547;9.071.567;8;1;0,41;483,4
290;48.413.543;9.071.567;8;1;0,15;483,4
295;48.413.536;9.071.566;8;1;0,19;482,6
300;48.413.539;9.071.566;8;1;0,67;483,2
310;48.413.547;9.071.566;8;1;0,98;483,4
315;48.413.547;9.071.563;8;1;0,09;483,6
320;48.413.539;9.071.563;8;1;0,06;481,3
325;48.413.536;9.071.565;8;1;0,09;481,3
335;48.413.536;9.071.566;8;1;0,17;480,9
340;48.413.536;9.071.575;8;1;1,02;481,5
345;48.413.547;9.071.579;8;1;1,37;483,7
350;48.413.543;9.071.581;8;1;0,28;484,5
355;48.413.543;9.071.585;8;1;1;484,4
365;48.413.547;9.071.592;9;0,9;0,31;485,5
370;48.413.566;9.071.593;9;0,9;0,98;489,3
375;48.413.589;9.071.608;8;1,1;0,59;494,3
380;48.413.578;9.071.606;8;1,1;0,48;493,7
385;48.413.574;9.071.588;9;0,9;0,48;491
395;48.413.578;9.071.576;9;0,9;0,3;491
400;48.413.578;9.071.575;10;0,9;0,19;492,4
405;48.413.578;9.071.573;10;0,9;0,35;493,4
410;48.413.578;9.071.566;10;0,9;0,15;493,7
415;48.413.581;9.071.561;10;0,9;0,41;494,2
425;48.413.585;9.071.559;10;0,9;0,3;494
430;48.413.581;9.071.561;10;0,9;0,35;493
435;48.413.574;9.071.561;10;0,9;0,15;491,5
440;48.413.566;9.071.562;10;0,9;0;489,4
445;48.413.566;9.071.566;10;0,9;0,06;488,5
455;48.413.570;9.071.570;10;0,9;0,33;488,3
460;48.413.566;9.071.577;10;0,9;0,17;487,9
465;48.413.562;9.071.580;10;0,9;0,04;487,3
470;48.413.562;9.071.582;10;0,9;0,09;488,2
475;48.413.562;9.071.586;10;0,9;0,13;488,4
485;48.413.558;9.071.585;10;0,9;0,15;488,2
490;48.413.558;9.071.584;10;0,9;0,11;488,2
495;48.413.555;9.071.583;10;0,9;0,11;489,4
500;48.413.547;9.071.587;10;0,9;0,22;488,6
505;48.413.543;9.071.588;10;0,9;0,15;488,3
515;48.413.543;9.071.588;10;0,9;0,15;488,4
520;48.413.539;9.071.593;10;0,9;0,17;488,5
525;48.413.536;9.071.598;10;0,9;0,17;487,8
530;48.413.536;9.071.599;10;0,9;0,31;487,9
540;48.413.536;9.071.599;10;0,9;0,09;487,9
545;48.413.536;9.071.600;10;0,9;0,67;487,7
550;48.413.536;9.071.601;10;0,9;0,54;488,2
555;48.413.532;9.071.601;10;0,9;0,3;488
560;48.413.536;9.071.603;10;0,9;0,24;489,1
570;48.413.536;9.071.601;10;0,8;0,04;490,1
575;48.413.536;9.071.603;10;0,8;0,13;489,8
580;48.413.532;9.071.605;10;0,9;0,13;489,6
585;48.413.532;9.071.607;10;0,8;0,52;490,7
590;48.413.528;9.071.603;10;0,8;0,13;490,2
600;48.413.528;9.071.603;10;0,8;0,37;490,8
605;48.413.528;9.071.599;10;0,8;1,02;490,8
610;48.413.528;9.071.600;10;0,8;0,94;490,1
615;48.413.532;9.071.597;10;0,8;0,19;488,8
620;48.413.536;9.071.595;10;0,8;0,11;488,5
630;48.413.536;9.071.601;10;0,8;0,19;489
635;48.413.536;9.071.605;10;0,8;0,11;489,3
640;48.413.536;9.071.605;10;0,8;0,04;489,3
645;48.413.536;9.071.604;10;0,8;0,04;488,9
650;48.413.536;9.071.608;10;0,8;0,11;488,9
660;48.413.532;9.071.608;10;0,8;0,52;488,4
665;48.413.532;9.071.612;10;0,8;0,19;488,7
670;48.413.536;9.071.620;10;0,8;0,17;489,7
675;48.413.532;9.071.620;10;0,9;0,24;489,4
680;48.413.536;9.071.614;10;0,9;0,02;488,5
690;48.413.536;9.071.608;10;0,8;0,11;488,3
695;48.413.536;9.071.605;10;0,8;0,15;488,2
700;48.413.547;9.071.603;10;0,8;2,96;488,7
705;48.413.547;9.071.592;10;0,8;0,2;487,8
710;48.413.539;9.071.597;10;0,8;0,13;487
720;48.413.532;9.071.599;10;0,8;0,11;485,7
725;48.413.528;9.071.597;10;0,8;0,17;485,4
730;48.413.528;9.071.592;10;0,8;0,07;484,8
735;48.413.528;9.071.591;10;0,8;0,11;484,7
740;48.413.524;9.071.591;10;0,8;0,19;484,4
750;48.413.524;9.071.593;10;0,8;0,13;484,7
755;48.413.524;9.071.595;10;0,8;0,15;485,4
760;48.413.524;9.071.592;10;0,8;0,02;485,4
765;48.413.528;9.071.591;10;0,8;0,06;485,2
770;48.413.536;9.071.597;9;1;0,06;485,7
780;48.413.524;9.071.609;9;1;1,26;485,7
785;48.413.509;9.071.594;10;0,9;0,19;486,4
790;48.413.501;9.071.595;10;0,8;0,13;486,4
795;48.413.501;9.071.590;10;0,8;0,13;485,6
805;48.413.509;9.071.588;10;0,8;0,09;485,3
810;48.413.513;9.071.583;10;0,8;0,17;485,2
815;48.413.520;9.071.583;10;0,8;0,11;486,1
820;48.413.520;9.071.580;10;0,9;0,24;486,2
825;48.413.520;9.071.579;10;0,9;0,04;485,6
835;48.413.520;9.071.578;10;0,8;0,07;485,1
840;48.413.520;9.071.578;10;0,8;0,09;485,3
845;48.413.520;9.071.581;10;0,8;0,15;485,4
850;48.413.520;9.071.583;10;0,8;0,11;485,3
855;48.413.524;9.071.584;10;0,8;0,04;485,6
865;48.413.520;9.071.586;10;0,8;0,04;485,8
870;48.413.516;9.071.589;10;0,8;0,04;485,8
875;48.413.516;9.071.590;10;0,8;0,07;485,3
880;48.413.513;9.071.589;10;0,8;0,07;485
885;48.413.509;9.071.588;10;0,8;0,07;485
